Commentaire ID,Texte du commentaire
Ugys41KBwDKaFDIOsuF4AaABAg,Merci pour cette musique NASA elle représente tellement ma vie on a perdu notre fille il y a 6mois est c&#39;est ce que je ressens sans elle je peux plus avancer c&#39;est impossible 😭😭 J&#39;AI ON A TELLEMENT MAL ELLE AVAIT QUE 10 JOURS DE VIE 😭😭😭
UgzkzLkz9VYRm89rIZJ4AaABAg,Eyo Naza Muana mboka toujours indusa force à toi
Ugx6vfTP-dYDiSztuNJ4AaABAg,Super❤
Ugy6gtu3N6nKFp_m6ZF4AaABAg,❤ il a mis tout le monde d&#39;accord...🎉
UgypHE7s79wM7wFn0754AaABAg,Trop fort naza
UgwaXxSJjHH1Vxwq8Qt4AaABAg,💔💔💔🙏🏾papa
UgyaqadI2-MGWGYnVyZ4AaABAg,Grosse force à toi 😊
UgzcLrQkAUAFG2viWkh4AaABAg,"Mais ce gars, quel clips et quel chanson honnêtement très bon 👍🏾👍🏾👍🏾👍🏾👍🏾"
UgxPkeD-vJz-ycdrk5R4AaABAg,Zidane je ne pourrais t&#39;oublier mon ami ❤️❤️❤️ je pars mais tu restes pour moi mon seul ami
UgxbVgvPN6wz3DEeYHt4AaABAg,J&#39;aime vraiment la musique de Naza
Ugx6TyND6GZbH7JWfJd4AaABAg,Merci infiniment 🙏
UgzVmXiPy4NCbHJSaBh4AaABAg,Je te donne 3 disque de diamant top 1france tu as touché tout le monde ce qui plus mal dans ce monde c&#39;est la séparation de corps (la mort) 😢😢 la mort reste un mystère qu&#39;es ce qu&#39;on deviendra après la mort
UgzswFPAooew3L8Wazh4AaABAg,A mon compagnon partir trop tôt 31 08 05
UgzLpiWK4k0KTUq0z4F4AaABAg,Jte jure naza c&#39;est trop comment tes nul san la music t&#39;es en mode caissière... tu gateles vêtements des couturier je suis du bois l&#39;abbé ci plus de détails petit 🕊
UgyQWSxEmV-3uhCq4JJ4AaABAg,Il est toujours en feu 🔥 Naza
Ugxj1-fLx2szRR7R6GR4AaABAg,On dirait le début de la chanson soolking et gazo
Ugw6ls3ThkyAcReMoUd4AaABAg,"J&#39;allais dire il manque un couplet, mais le son est tellement Bon ; les paroles, le rythme, les instruments, les accords sans même parler de la vidéo, j&#39;ose même pas fermer les yeux tellement c&#39;est prenant ; que vas-y, c&#39;est mieux qu&#39;il n&#39;y ait pas d&#39;autres couplets 😢😢 <br><br>Bravo pour le Chef d&#39;œuvre Naza 👏🏾👏🏾"
UgysEl2LgZ87ldn4A9V4AaABAg,Jai rompu le 4 / 04 / 2024. Kk si tu vois ca tu me manque jai mal
Ugwt4riNg7WkYWaS4At4AaABAg,Cette musique me fais pensé à mon papi et ma mamie … vous me manquez tellement … pas un seul jour où je ne pense à vous ❤
UgzYVCs6dsgvNHddXCx4AaABAg,"J&#39;ai découvert cette chanson le 6 Avril 2024, quand je suis allée voir une amie que je n&#39;avais pas revu depuis 8ans, et c&#39;est alors que l&#39;on avait mis cette à la télé.c&#39;est alors que je  suis tombé sous le charme de cette mélodie.<br>Personnellement c&#39;est la première fois que j&#39;écoute ta chanson Naza.<br>Mais franchement cette chanson est une merveille.<br>Félicitations mwana mboka."
Ugxi7AfHc_M3c9IzoB54AaABAg,Naza ta chanson m&#39;a fait penser à mon ex
Ugz-IdhR7puYHUql13Z4AaABAg,Les main verre le ciel pour tout ceux qui ont perdu un êtres chères... toute mes pensées vont sur vous que dieu vous garde et vous protège ❤🤲🏾
UgxRP_7BB4mCd5iaSVB4AaABAg,❤️
UgyLkomo_k13eyfE8Hx4AaABAg,T’es chanson me ‘donne des frissons wallah 😢très fort
UgwSQWOCLHYeuM1qvMt4AaABAg,"J’ai maaaaal , depuis que tu es partie j’ai maaaaal"
UgyXzlok1zbPSwCC-Rp4AaABAg,Qui va réparer si j’ai bobo ?
UgwalTnDWY5LjJuVR654AaABAg,"Tu me manques tous les jours papa, même après 1 an ça m’arrive de pleurer en silence. Dieu merci c’est grâce à tes petits enfants que j’arrive encore à tenir le coup.❤❤❤"
UgynklBXz9pZ_NydPGh4AaABAg,👍🏼
UgzG7kaeJMpDpWvXJ3B4AaABAg,De loin le meilleur il démonte tout
UgzswgQaR-VxGgPG0Al4AaABAg,"une vraie bombe, ce morceau"
UgzVDc7f6fWNuV1Qjhl4AaABAg,trop touchant
Ugx3v4Fz6d-dEgaangp4AaABAg,❤❤❤from ALGERIA
UgxSqjyD-HHNCK2M76l4AaABAg,C&#39;est un loveur naza ❤
Ugy4L_zmKIAvSdnvBkB4AaABAg,j&#39;ai mal depuis que tu es partie 😔😭😞💔
UgzkKliILJhLQr_ijwB4AaABAg,"La naza j&#39;avoue tu m&#39;a toucher en plein coeur,ma femme ai partie à cause d&#39;un cancer depuis 8 mois tu a fait couler des l&#39;armes que je gardais en moi.metci merci"
UgyX87ecSiRnNh3xent4AaABAg,❤
UgzD2NBb11j2s4p_ell4AaABAg,Nous vous aimons de là où vous êtes..
Ugxvk8d0BOcBddCmmdd4AaABAg,Ce son ma fait pense a mère que soit l&#39;endroit que tu es je t&#39;aime maman chérie 😢❤
UgwJFpMrDwCLbCSKsvp4AaABAg,Ce morceau est mon coup de cœur 😍 mais il est tellement court ! Court comme la vie d&#39;ailleurs 😩<br>Profitons du temps qui nous reste ❤❤❤
Ugw_038cycMLpQlqMAR4AaABAg,❤
UgysTgmzqbpIGI3Iccx4AaABAg,J&#39;ai perdu mon chéri le 10 août 2022 mon dieu je suis au bout de ma vie 😢
UgyvSacm9h6VCGSpwOh4AaABAg,Salutations de Kanaky Nouvelle-Calédonie 🇳🇨
UgzcLuuz4Z-T0atKcSd4AaABAg,😢😢 à ma fille partie très tôt le 12 02 2024 c&#39;est vraiment pas facile 😢
UgwbJ_XWiMRnvMlEZIB4AaABAg,"J&#39;arrête vraiment pas de l&#39;écouter ... Juste un mot MERCI. Beaucoup comme moi ce retrouve dans ce son. ...  Tellement d&#39;année qu&#39;elle est partie, j&#39;ai toujours aussi mal  ... Et personne ne ce doute de ça ... Sans elle depuis 15 ans déjà, et jamais remis"
Ugx0DC7xSfjzFvRsISd4AaABAg,"Naza, tu as maîtrisé ça ! Cette musique, comme elle est douce, mes oreilles sont en extase. 😭"
UgyPmX79kb9M-V1iHKp4AaABAg,Ce sont m’a fait pensé à mon grand père là où tu es sache que je t’aime et Que la mort n’arrête pas l’amour ❤
UgyQgn8oixfSRVDBa914AaABAg,Depuis un bon moment naza c&#39;était plus des vibes linéaire vu qu&#39;il avait trouvé la bonne sauce...  Là je ressens vraiment l&#39;expérience qu&#39;il a pu acquérir mais avec un air des mélodies qui m&#39;ont fait l&#39;aimer en tant qu&#39;artiste(je fais référence à l&#39;album incroyable).
UgxT4GOW1-29gYSKWLN4AaABAg,naza quand tu chante tu chante avec ton coeur ❤ j&#39;adore
Ugxvltqrn-u3N0Wyo9l4AaABAg,Meilleur son 2024 👌
UgzgHO81EgPQUR6kf5N4AaABAg,Magnifique
UgwF8QSWD4_qdtsgGRF4AaABAg,un grand merci naza! quel son!!<br><br>✨🤲👏☝💓
UgyD3xQPkLW3M66vXHV4AaABAg,J&#39;apprends l&#39;amour à chaque fois que j&#39;écoute à Naza
UgwptGypeQaHlSHEJ8F4AaABAg,❤️❤️❤️😔
UgyFQtf0U7-JhTkzfhl4AaABAg,Il est parti a deux semaines de notre mariage j&#39;ai mal je souris devant les gens mais lorsque je suis seule 😢😢😢😢sache le que je t&#39;avais aimé pour un amour vrai
UgxtyPDY0S1B5kqrNXV4AaABAg,💙💙💙🐼
Ugwk58AnYI3tnyMoi114AaABAg,Les son c&#39;est très kitokoos
UgySdcVGLy6WqQ7U48B4AaABAg,Chaud
UgzYMxGm03ZoiXQWCDp4AaABAg,❤❤ hit 2k24
UgzjbPPiNmk92TIopIV4AaABAg,Je ne sais pas parmi les anges qui t&#39;as créé mais tu es top❤
UgxeubnpxVFnesxO3fV4AaABAg,🇨🇬🇨🇬✊
UgwB4jvZt_IFSNbu1z54AaABAg,Cette chanson me parle personnellement ! Merci NAZA
UgzNvODAxIZU0AjpjV54AaABAg,Incroyable 😮‍💨🙂‍↕️💔🖤🤍
UgwhgK_Ny8uckhIQiPZ4AaABAg,Tu nous a fait badeeer frère incroyable ce son ❤❤ creil dans la maison
Ugxqq6Vdkh3EQuVloa54AaABAg,"Réponse en paix mon frère Kelvin depuis le 15 décembre 2023, j ai toujours mal mon grand"
Ugz301b0jB-myjcsljF4AaABAg,Marion 😢 05.01.2023
